year,quarter,eps_diluted
2020,Q4,2.0876838949219616
2021,Q1,2.6273457691948194
2021,Q2,2.868931085638904
2021,Q3,2.5570771338791953
2021,Q4,3.2410660953008374
2022,Q1,2.073307006463266
2022,Q2,1.1175367653006663
2022,Q3,1.092752846123672
2022,Q4,-0.2679916146693236
2023,Q1,0.41883359932820424
2023,Q2,1.26398388653993
2023,Q3,1.9180486161087131
2023,Q4,2.892224989898808
2024,Q1,3.560603669085446
2024,Q2,4.173947649147203
2024,Q3,4.666111889650544
2024,Q4,5.5306631007690505
2025,Q1,6.13992420590931
2025,Q2,6.561503402319998
2025,Q3,7.087269763779897
