year,quarter,operating_margin
2021,Q1,-0.47470817120622566
2021,Q2,-0.3672911787665886
2021,Q3,-0.280353052149306
2021,Q4,-0.2196505299341163
2022,Q1,-0.13043072035877792
2022,Q2,-0.09068493150684931
2022,Q3,-0.07711374277058662
2022,Q4,-0.057470903786429085
2023,Q1,-0.047627489215860075
2023,Q2,-0.016370025426392022
2023,Q3,0.008789497107254117
2023,Q4,0.029773879456023174
2024,Q1,0.0400114022130659
2024,Q2,0.05027584313138121
2024,Q3,0.06390179954713383
2024,Q4,0.06364545909318295
2025,Q1,0.08494931687968268
2025,Q2,0.09526525955504848
2025,Q3,0.09193710945373916
2025,Q4,0.10698425514735567
